행정구역,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
부산광역시  (2600000000),"3,330,119","219,511","265,672","414,434","403,202","498,156","549,342","544,562","296,636","123,117","15,138",349
부산광역시 중구 (2611000000),"40,076","1,116","1,861","5,816","4,439","5,046","6,607","7,796","4,921","2,152",315,7
부산광역시 서구 (2614000000),"104,301","5,309","7,071","12,982","10,465","13,978","16,848","19,129","12,171","5,628",702,18
부산광역시 동구 (2617000000),"86,633","3,962","4,803","10,234","10,315","11,421","14,012","15,864","10,556","4,887",567,12
부산광역시 영도구 (2620000000),"109,804","4,869","7,026","11,418","10,162","14,396","18,395","22,159","14,472","6,189",698,20
부산광역시 부산진구 (2623000000),"350,845","20,089","24,017","50,852","46,750","49,600","55,984","56,737","31,593","13,675","1,525",23
부산광역시 동래구 (2626000000),"265,278","18,718","24,485","31,116","31,495","42,180","42,922","41,685","22,708","8,854","1,093",22
부산광역시 남구 (2629000000),"260,440","16,605","22,491","34,051","28,055","40,093","41,752","41,153","25,008","10,051","1,155",26
부산광역시 북구 (2632000000),"282,058","18,332","22,415","35,599","33,532","39,554","52,098","48,427","22,127","8,865","1,086",23
부산광역시 해운대구 (2635000000),"393,533","27,068","36,830","46,679","44,808","63,391","68,694","59,517","30,993","13,716","1,795",42
부산광역시 사하구 (2638000000),"304,464","18,323","24,474","38,122","34,741","44,428","52,770","53,017","26,874","10,330","1,360",25
부산광역시 금정구 (2641000000),"226,816","12,081","17,186","31,950","24,053","30,997","38,674","39,426","21,868","9,369","1,185",27
부산광역시 강서구 (2644000000),"142,477","19,699","12,940","12,548","26,780","25,968","17,089","16,957","7,188","2,836",461,11
부산광역시 연제구 (2647000000),"206,084","13,965","16,223","24,844","26,188","31,356","33,244","33,387","18,497","7,485",870,25
부산광역시 수영구 (2650000000),"173,770","9,828","11,430","23,660","23,361","24,666","26,811","28,727","17,186","7,175",908,18
부산광역시 사상구 (2653000000),"206,944","11,267","14,397","27,635","24,111","28,117","38,541","38,197","17,645","6,378",637,19
부산광역시 기장군 (2671000000),"176,596","18,280","18,023","16,928","23,947","32,965","24,901","22,384","12,829","5,527",781,31
대구광역시  (2700000000),"2,373,789","167,765","218,319","308,148","283,560","370,002","416,084","340,137","177,145","82,451","9,955",223
대구광역시 중구 (2711000000),"73,790","4,995","4,995","11,321","10,483","10,438","10,778","10,002","6,892","3,414",454,18
대구광역시 동구 (2714000000),"339,589","23,993","26,178","40,402","43,011","50,556","55,858","53,297","30,666","14,022","1,570",36
대구광역시 서구 (2717000000),"163,237","6,773","10,090","19,824","16,588","21,043","31,871","31,725","17,198","7,355",752,18
대구광역시 남구 (2720000000),"141,883","6,321","8,907","19,651","16,560","19,139","23,836","24,082","14,817","7,590",963,17
대구광역시 북구 (2723000000),"435,371","31,915","41,736","60,878","52,401","69,932","77,705","57,260","28,895","13,116","1,504",29
대구광역시 수성구 (2726000000),"415,168","28,392","49,273","52,783","41,414","69,554","74,255","53,926","28,975","14,583","1,963",50
대구광역시 달서구 (2729000000),"542,866","36,871","52,674","74,954","62,671","84,765","100,897","77,355","35,101","15,647","1,893",38
대구광역시 달성군 (2771000000),"261,885","28,505","24,466","28,335","40,432","44,575","40,884","32,490","14,601","6,724",856,17
인천광역시  (2800000000),"2,927,910","217,238","270,588","389,515","399,161","476,888","505,480","395,423","178,095","82,374","12,774",374
인천광역시 중구 (2811000000),"142,401","11,651","13,110","18,865","21,840","24,994","20,916","17,055","9,278","4,012",661,19
인천광역시 동구 (2814000000),"60,895","3,470","4,890","6,350","6,677","9,576","9,812","10,274","6,441","2,959",436,10
인천광역시 미추홀구 (2817700000),"403,593","26,081","31,467","56,607","55,294","62,736","66,311","58,318","30,941","13,801","1,986",51
인천광역시 연수구 (2818500000),"387,387","37,064","43,036","50,445","56,157","68,575","64,651","42,682","15,735","7,642","1,357",43
인천광역시 남동구 (2820000000),"515,102","38,005","48,545","68,473","68,596","86,091","88,342","70,268","31,235","13,412","2,064",71
인천광역시 부평구 (2823700000),"482,858","30,384","41,366","66,954","65,474","74,089","86,857","69,686","31,318","14,564","2,104",62
인천광역시 계양구 (2824500000),"293,668","17,252","25,429","42,250","37,766","44,182","58,837","43,202","15,712","7,809","1,203",26
인천광역시 서구 (2826000000),"552,432","49,253","57,098","71,899","80,376","96,780","94,653","64,255","25,166","11,092","1,799",61
인천광역시 강화군 (2871000000),"69,340","3,198","4,557","5,110","5,157","7,589","11,671","15,303","9,915","5,931",892,17
인천광역시 옹진군 (2872000000),"20,234",880,"1,090","2,562","1,824","2,276","3,430","4,380","2,354","1,152",272,14
광주광역시  (2900000000),"1,436,183","114,044","152,289","206,067","180,491","234,861","234,341","171,181","94,196","42,536","6,014",163
광주광역시 동구 (2911000000),"102,492","7,293","7,247","14,807","13,332","13,875","15,229","14,946","10,135","4,939",673,16
광주광역시 서구 (2914000000),"290,141","20,168","29,825","44,474","34,844","46,710","49,216","35,662","19,411","8,594","1,199",38
광주광역시 남구 (2915500000),"214,887","17,060","22,732","27,474","25,135","34,114","32,797","29,009","17,556","7,856","1,129",25
광주광역시 북구 (2917000000),"425,570","31,985","41,332","61,014","54,350","65,371","70,916","55,788","29,985","12,953","1,821",55
광주광역시 광산구 (2920000000),"403,093","37,538","51,153","58,298","52,830","74,791","66,183","35,776","17,109","8,194","1,192",29
대전광역시  (3000000000),"1,445,245","107,507","142,018","208,815","188,701","229,400","238,082","189,348","92,046","43,072","6,094",162
대전광역시 동구 (3011000000),"220,978","14,150","19,450","29,993","25,094","33,160","35,920","34,067","19,093","8,857","1,163",31
대전광역시 중구 (3014000000),"228,925","13,876","20,909","29,959","24,807","34,890","38,468","34,541","20,428","9,705","1,307",35
대전광역시 서구 (3017000000),"471,114","35,848","48,109","72,601","64,372","75,727","76,217","58,036","26,395","12,011","1,750",48
대전광역시 유성구 (3020000000),"350,077","33,116","37,777","52,222","54,610","59,668","54,418","36,499","13,814","6,796","1,133",24
대전광역시 대덕구 (3023000000),"174,151","10,517","15,773","24,040","19,818","25,955","33,059","26,205","12,316","5,703",741,24
울산광역시  (3100000000),"1,117,766","91,989","109,933","137,191","144,373","182,954","205,970","155,141","62,856","24,051","3,245",63
울산광역시 중구 (3111000000),"212,096","15,265","19,449","25,151","25,011","32,902","39,996","33,370","14,833","5,456",654,9
울산광역시 남구 (3114000000),"312,380","22,532","29,130","43,284","40,663","49,228","60,241","43,543","17,069","5,970",709,11
울산광역시 동구 (3117000000),"153,530","13,708","15,643","16,682","21,243","26,004","24,635","23,761","8,859","2,634",353,8
울산광역시 북구 (3120000000),"218,334","24,029","23,774","26,187","32,738","38,898","38,791","22,318","7,892","3,219",471,17
울산광역시 울주군 (3171000000),"221,426","16,455","21,937","25,887","24,718","35,922","42,307","32,149","14,203","6,772","1,058",18
세종특별자치시  (3600000000),"371,138","47,056","45,786","38,471","61,604","72,582","48,693","33,382","14,728","7,535","1,275",26
세종특별자치시  (3611000000),"371,138","47,056","45,786","38,471","61,604","72,582","48,693","33,382","14,728","7,535","1,275",26
경기도  (4100000000),"13,481,995","1,099,312","1,318,231","1,791,870","1,890,312","2,278,928","2,252,374","1,654,314","768,685","372,129","54,308","1,532"
경기도 수원시 (4111000000),"1,177,170","90,996","115,186","183,772","176,298","197,741","195,746","130,201","56,497","26,642","3,965",126
경기도 수원시 장안구 (4111100000),"272,294","17,494","27,730","43,390","32,892","43,837","48,853","33,153","15,690","7,942","1,280",33
경기도 수원시 권선구 (4111300000),"362,387","29,784","32,483","52,732","56,183","60,061","61,160","43,245","17,548","7,994","1,152",45
경기도 수원시 팔달구 (4111500000),"180,439","10,045","13,645","30,182","26,797","27,041","30,590","24,173","11,886","5,371",686,23
경기도 수원시 영통구 (4111700000),"362,050","33,673","41,328","57,468","60,426","66,802","55,143","29,630","11,373","5,335",847,25
경기도 성남시 (4113000000),"923,097","65,633","85,283","126,912","134,220","151,522","153,265","118,880","57,111","26,015","4,136",120
경기도 성남시 수정구 (4113100000),"234,010","14,901","16,757","33,518","34,749","35,847","39,472","34,500","16,777","6,605",852,32
경기도 성남시 중원구 (4113300000),"208,942","12,162","15,581","29,785","30,413","31,186","36,262","31,713","15,040","5,956",822,22
경기도 성남시 분당구 (4113500000),"480,145","38,570","52,945","63,609","69,058","84,489","77,531","52,667","25,294","13,454","2,462",66
경기도 의정부시 (4115000000),"459,873","32,975","41,511","63,990","59,665","72,875","80,051","60,835","31,071","14,940","1,909",51
경기도 안양시 (4117000000),"543,480","37,805","50,704","74,600","76,894","84,973","95,090","74,768","31,758","14,630","2,215",43
경기도 안양시 만안구 (4117100000),"236,670","14,786","18,077","33,435","32,981","33,874","42,288","36,390","16,494","7,314","1,009",22
경기도 안양시 동안구 (4117300000),"306,810","23,019","32,627","41,165","43,913","51,099","52,802","38,378","15,264","7,316","1,206",21
경기도 부천시 (4119000000),"800,225","52,998","67,789","111,696","111,760","124,016","143,217","117,503","47,163","20,830","3,159",94
경기도 광명시 (4121000000),"290,841","21,809","29,493","36,641","39,715","49,441","48,414","38,974","17,491","7,755","1,078",30
경기도 평택시 (4122000000),"560,259","50,013","54,099","77,411","85,926","96,784","90,395","60,259","28,517","14,829","1,978",48
경기도 동두천시 (4125000000),"92,476","5,821","8,347","10,979","9,882","13,621","16,136","13,925","8,448","4,706",592,19
경기도 안산시 (4127000000),"648,095","41,752","61,121","104,992","84,609","102,815","126,782","78,495","30,004","15,240","2,225",60
경기도 안산시 상록구 (4127100000),"348,153","21,854","32,997","57,592","43,529","54,898","68,603","41,762","16,802","8,794","1,289",33
경기도 안산시 단원구 (4127300000),"299,942","19,898","28,124","47,400","41,080","47,917","58,179","36,733","13,202","6,446",936,27
경기도 고양시 (4128000000),"1,070,971","77,860","102,044","145,815","141,814","175,789","194,716","131,539","60,943","35,192","5,131",128
경기도 고양시 덕양구 (4128100000),"479,606","37,111","41,095","61,594","68,696","77,677","83,197","61,846","30,142","16,014","2,177",57
경기도 고양시 일산동구 (4128500000),"296,091","19,796","28,594","43,469","37,916","48,951","55,705","35,552","15,291","9,297","1,490",30
경기도 고양시 일산서구 (4128700000),"295,274","20,953","32,355","40,752","35,202","49,161","55,814","34,141","15,510","9,881","1,464",41
경기도 과천시 (4129000000),"72,720","6,485","6,988","9,650","10,608","10,799","12,526","9,134","4,046","2,090",386,8
경기도 구리시 (4131000000),"190,531","13,935","17,273","25,809","24,968","31,037","34,505","25,762","11,446","5,139",639,18
경기도 남양주시 (4136000000),"729,730","63,509","78,150","86,018","89,989","131,433","121,254","90,129","45,857","20,424","2,868",99
경기도 오산시 (4137000000),"229,031","21,678","24,884","31,072","37,164","43,684","33,811","21,907","9,913","4,353",549,16
경기도 시흥시 (4139000000),"508,906","47,562","50,137","68,742","77,388","91,761","89,177","52,997","20,014","9,615","1,466",47
경기도 군포시 (4141000000),"267,023","18,619","25,406","36,708","36,932","42,286","47,089","35,713","15,020","7,977","1,233",40
경기도 의왕시 (4143000000),"162,293","12,627","14,025","22,574","22,771","23,824","29,022","23,130","9,094","4,454",756,16
경기도 하남시 (4145000000),"318,682","32,782","28,422","38,184","53,265","57,208","45,211","38,795","17,278","6,410","1,095",32
경기도 용인시 (4146000000),"1,071,474","94,556","120,104","137,353","139,903","196,045","170,002","113,059","65,533","30,383","4,403",133
경기도 용인시 처인구 (4146100000),"258,937","19,952","24,669","34,589","33,249","43,257","43,776","34,174","16,140","7,887","1,214",30
경기도 용인시 기흥구 (4146300000),"439,361","39,724","50,322","56,966","56,858","81,878","69,277","43,833","26,331","12,340","1,773",59
경기도 용인시 수지구 (4146500000),"373,176","34,880","45,113","45,798","49,796","70,910","56,949","35,052","23,062","10,156","1,416",44
경기도 파주시 (4148000000),"480,442","43,407","50,149","59,225","68,148","82,383","76,366","54,477","28,679","15,349","2,207",52
경기도 이천시 (4150000000),"222,288","17,876","22,133","31,293","30,780","34,860","35,436","28,642","13,145","7,112",988,23
경기도 안성시 (4155000000),"188,580","13,116","17,689","23,051","22,665","29,976","31,741","27,580","13,792","7,830","1,114",26
경기도 김포시 (4157000000),"484,327","53,638","49,864","52,259","74,880","91,880","68,706","53,441","26,518","11,409","1,688",44
경기도 화성시 (4159000000),"884,561","101,285","100,965","108,890","150,875","171,211","122,186","78,114","33,128","15,596","2,257",54
경기도 광주시 (4161000000),"385,351","33,227","33,943","44,823","55,485","67,563","64,738","52,212","22,756","9,267","1,296",41
경기도 양주시 (4163000000),"235,067","19,634","24,227","27,619","27,944","39,631","39,177","31,318","16,486","7,874","1,124",33
경기도 포천시 (4165000000),"148,048","8,108","11,699","18,129","14,543","19,588","29,003","26,801","12,250","6,884","1,010",33
경기도 여주시 (4167000000),"111,697","6,843","9,392","11,913","11,072","15,640","19,970","20,131","10,122","5,693",895,26
경기도 연천군 (4180000000),"42,413","2,539","3,044","5,087","4,069","4,679","6,867","7,938","4,802","2,963",409,16
경기도 가평군 (4182000000),"61,875","3,155","4,455","6,106","5,467","7,704","11,015","12,933","6,673","3,830",516,21
경기도 양평군 (4183000000),"120,469","7,069","9,705","10,557","10,613","16,159","20,760","24,722","13,130","6,698","1,021",35
강원도  (4200000000),"1,531,487","100,937","133,723","174,942","162,056","217,963","262,785","258,754","132,098","76,358","11,528",343
강원도 춘천시 (4211000000),"283,201","20,822","26,448","37,332","34,221","41,633","46,437","41,397","20,310","12,600","1,942",59
강원도 원주시 (4213000000),"356,113","27,407","35,309","44,787","45,204","56,518","60,857","49,736","21,326","12,954","1,963",52
강원도 강릉시 (4215000000),"212,063","12,833","18,419","24,495","21,116","31,584","36,422","35,572","19,461","10,424","1,686",51
강원도 동해시 (4217000000),"89,626","6,271","8,532","9,344","8,633","14,142","15,613","14,579","7,954","3,977",570,11
강원도 태백시 (4219000000),"40,486","2,301","3,664","3,443","3,273","6,045","6,926","7,765","4,697","2,146",224,2
강원도 속초시 (4221000000),"82,335","5,619","7,211","8,923","9,072","12,055","14,922","13,790","6,746","3,384",601,12
강원도 삼척시 (4223000000),"63,193","3,524","5,017","6,714","5,190","8,430","10,858","11,794","6,971","4,069",610,16
강원도 홍천군 (4272000000),"68,149","3,535","4,954","6,479","5,694","7,925","12,052","15,088","7,086","4,654",660,22
강원도 횡성군 (4273000000),"46,268","2,107","3,434","3,611","3,226","4,885","8,447","11,106","5,449","3,445",534,24
강원도 영월군 (4275000000),"37,715","1,549","2,740","3,127","2,607","4,277","7,053","8,469","4,671","2,852",358,12
강원도 평창군 (4276000000),"40,845","1,708","2,720","3,232","2,807","5,015","7,761","9,460","4,868","2,876",382,16
강원도 정선군 (4277000000),"35,495","1,628","2,408","2,614","2,744","4,593","6,638","7,882","4,352","2,305",321,10
강원도 철원군 (4278000000),"43,179","3,154","3,629","5,230","4,470","5,456","6,896","7,126","4,451","2,391",363,13
강원도 화천군 (4279000000),"24,123","1,708","1,720","3,559","2,754","2,594","3,745","4,113","2,206","1,489",225,10
강원도 양구군 (4280000000),"21,684","1,649","1,925","2,852","2,470","2,418","3,398","3,635","1,942","1,212",176,7
강원도 인제군 (4281000000),"32,103","2,499","2,236","4,206","3,976","3,924","5,095","5,711","2,585","1,606",258,7
강원도 고성군 (4282000000),"27,147","1,354","1,588","2,673","2,367","3,061","4,773","5,617","3,403","1,977",325,9
강원도 양양군 (4283000000),"27,762","1,269","1,769","2,321","2,232","3,408","4,892","5,914","3,620","1,997",330,10
충청북도  (4300000000),"1,591,483","116,939","146,301","193,952","189,776","235,930","269,274","240,698","119,765","69,056","9,536",256
충청북도 청주시 (4311000000),"845,331","71,117","84,680","118,493","117,266","135,185","137,044","105,114","47,838","24,999","3,504",91
충청북도 청주시 상당구 (4311100000),"193,091","15,896","19,632","24,367","23,301","30,301","33,214","26,234","12,420","6,736",967,23
충청북도 청주시 서원구 (4311200000),"192,089","12,809","19,397","28,043","22,141","29,491","33,527","26,875","12,498","6,411",878,19
충청북도 청주시 흥덕구 (4311300000),"266,391","23,431","26,277","40,399","41,144","42,951","42,724","29,954","12,476","6,139",876,20
충청북도 청주시 청원구 (4311400000),"193,760","18,981","19,374","25,684","30,680","32,442","27,579","22,051","10,444","5,713",783,29
충청북도 충주시 (4313000000),"208,604","13,753","18,456","23,543","22,747","29,991","36,764","34,318","17,128","10,500","1,376",28
충청북도 제천시 (4315000000),"131,050","8,186","11,329","14,247","12,247","17,547","23,370","24,297","12,240","6,726",824,37
충청북도 보은군 (4372000000),"31,719","1,333","2,011","2,240","2,001","3,104","5,563","7,322","4,408","3,214",509,14
충청북도 옥천군 (4373000000),"49,935","2,397","3,763","4,103","3,664","5,988","8,773","10,414","6,351","3,861",609,12
충청북도 영동군 (4374000000),"45,656","2,084","3,194","3,808","2,956","4,927","8,052","9,743","6,359","3,991",527,15
충청북도 증평군 (4374500000),"36,315","2,946","3,336","4,401","4,391","5,412","6,012","5,375","2,698","1,549",192,3
충청북도 진천군 (4375000000),"84,906","7,389","8,345","9,198","11,362","13,778","13,822","11,344","5,518","3,649",487,14
충청북도 괴산군 (4376000000),"37,986","1,247","1,939","2,751","2,280","3,711","7,281","9,472","5,336","3,472",482,15
충청북도 음성군 (4377000000),"91,744","5,402","7,388","9,124","9,067","13,250","17,270","16,497","8,121","4,873",736,16
충청북도 단양군 (4380000000),"28,237","1,085","1,860","2,044","1,795","3,037","5,323","6,802","3,768","2,222",290,11
충청남도  (4400000000),"2,111,258","162,676","200,495","237,723","258,502","323,554","338,432","298,438","171,628","103,977","15,432",401
충청남도 천안시 (4413000000),"655,809","58,684","67,595","94,871","101,885","111,014","103,430","69,423","30,653","15,863","2,325",66
충청남도 천안시 동남구 (4413100000),"254,092","18,802","25,563","34,468","31,530","41,560","43,057","33,760","15,751","8,327","1,241",33
충청남도 천안시 서북구 (4413300000),"401,717","39,882","42,032","60,403","70,355","69,454","60,373","35,663","14,902","7,536","1,084",33
충청남도 공주시 (4415000000),"102,722","5,304","7,904","10,870","8,887","12,759","17,741","19,424","11,396","7,269","1,136",32
충청남도 보령시 (4418000000),"98,056","5,614","8,036","9,072","8,808","13,283","16,547","17,837","11,297","6,559",979,24
충청남도 아산시 (4420000000),"323,254","31,519","35,490","37,409","48,092","57,933","48,037","34,860","18,304","10,160","1,411",39
충청남도 서산시 (4421000000),"176,120","14,753","17,094","18,859","21,530","27,690","28,662","23,697","13,974","8,512","1,313",36
충청남도 논산시 (4423000000),"114,077","6,729","9,425","10,756","10,137","14,564","19,135","20,870","12,808","8,372","1,252",29
충청남도 계룡시 (4425000000),"43,204","3,746","6,223","4,863","4,638","8,188","7,185","4,892","2,134","1,142",191,2
충청남도 당진시 (4427000000),"166,528","14,562","15,818","15,733","21,630","26,859","26,469","22,605","13,344","8,270","1,207",31
충청남도 금산군 (4471000000),"50,323","2,315","4,098","3,706","3,334","5,914","8,819","10,383","6,771","4,383",590,10
충청남도 부여군 (4476000000),"63,529","2,658","4,435","5,032","4,076","6,675","10,202","13,562","9,278","6,524","1,054",33
충청남도 서천군 (4477000000),"50,519","2,117","3,313","3,604","3,171","5,352","8,150","10,504","7,982","5,390",915,21
충청남도 청양군 (4479000000),"30,365","1,175","1,935","2,508","1,927","2,935","5,035","6,535","4,431","3,383",492,9
충청남도 홍성군 (4480000000),"98,993","7,351","9,447","9,278","10,031","14,097","15,643","15,490","10,111","6,563",958,24
충청남도 예산군 (4481000000),"76,524","3,324","5,429","6,447","5,737","8,977","12,923","15,572","10,313","6,854",916,32
충청남도 태안군 (4482500000),"61,235","2,825","4,253","4,715","4,619","7,314","10,454","12,784","8,832","4,733",693,13
전라북도  (4500000000),"1,779,949","119,645","169,994","206,025","181,320","258,234","296,944","267,130","169,802","95,769","14,705",381
전라북도 전주시 (4511000000),"655,170","51,429","70,033","92,315","80,665","104,430","106,761","80,795","44,843","20,811","3,021",67
전라북도 전주시 완산구 (4511100000),"334,639","23,051","34,591","48,538","38,926","51,091","56,905","44,311","24,257","11,221","1,708",40
전라북도 전주시 덕진구 (4511300000),"320,531","28,378","35,442","43,777","41,739","53,339","49,856","36,484","20,586","9,590","1,313",27
전라북도 군산시 (4513000000),"264,032","19,480","26,118","28,915","28,943","42,266","43,855","38,816","23,298","10,631","1,672",38
전라북도 익산시 (4514000000),"276,631","17,513","26,992","34,868","27,201","40,009","48,200","42,084","24,651","12,973","2,102",38
전라북도 정읍시 (4518000000),"106,008","5,840","9,247","10,168","8,344","13,967","17,993","17,683","13,008","8,483","1,238",37
전라북도 남원시 (4519000000),"79,188","4,592","7,089","7,302","5,992","10,068","13,538","13,467","9,651","6,414","1,046",29
전라북도 김제시 (4521000000),"80,641","3,874","6,039","6,923","6,154","9,504","13,160","15,018","11,189","7,490","1,253",37
전라북도 완주군 (4571000000),"90,846","6,323","8,171","8,721","8,803","13,155","15,243","14,767","9,269","5,497",875,22
전라북도 진안군 (4572000000),"24,908","1,147","1,617","1,807","1,500","2,519","4,401","5,197","3,725","2,605",382,8
전라북도 무주군 (4573000000),"23,686","1,066","1,771","1,695","1,619","2,707","4,105","4,651","3,248","2,462",341,21
전라북도 장수군 (4574000000),"21,662","1,025","1,627","1,545","1,395","2,398","3,626","4,387","3,073","2,258",316,12
전라북도 임실군 (4575000000),"26,618","1,284","1,569","1,881","1,801","2,645","4,470","5,223","4,188","3,073",470,14
전라북도 순창군 (4577000000),"26,773","1,269","2,149","1,902","1,746","3,078","4,369","5,043","3,929","2,852",422,14
전라북도 고창군 (4579000000),"53,197","2,454","4,060","4,012","3,546","5,789","8,725","10,101","8,081","5,502",902,25
전라북도 부안군 (4580000000),"50,589","2,349","3,512","3,971","3,611","5,699","8,498","9,898","7,649","4,718",665,19
전라남도  (4600000000),"1,826,609","123,678","163,013","193,290","177,684","250,898","310,868","283,806","190,504","115,318","17,104",446
전라남도 목포시 (4611000000),"217,618","16,341","23,785","26,120","23,502","35,805","35,726","29,824","17,900","7,631",962,22
전라남도 여수시 (4613000000),"275,863","19,546","25,602","32,609","29,541","40,382","47,918","42,150","25,066","11,298","1,713",38
전라남도 순천시 (4615000000),"280,674","22,535","29,426","36,700","32,658","42,325","49,011","36,390","19,227","10,693","1,659",50
전라남도 나주시 (4617000000),"116,429","9,845","9,637","12,184","14,392","16,694","17,341","16,947","11,315","6,971","1,073",30
전라남도 광양시 (4623000000),"150,179","12,651","15,640","19,238","17,996","23,011","29,350","18,269","8,374","4,784",849,17
전라남도 담양군 (4671000000),"45,985","2,177","2,976","4,531","3,514","5,055","8,149","8,742","6,132","4,071",611,27
전라남도 곡성군 (4672000000),"27,391",964,"1,857","2,167","1,602","2,858","4,707","5,272","4,097","3,282",572,13
전라남도 구례군 (4673000000),"25,170","1,024","1,774","1,877","1,502","2,693","4,537","4,893","3,774","2,685",398,13
전라남도 고흥군 (4677000000),"62,526","2,412","3,670","3,838","3,381","5,931","9,859","12,964","11,280","7,846","1,304",41
전라남도 보성군 (4678000000),"39,259","1,515","2,479","2,736","2,287","3,876","6,482","7,746","6,423","4,910",785,20
전라남도 화순군 (4679000000),"62,376","3,249","5,492","6,693","4,633","7,842","11,366","10,166","7,212","4,994",714,15
전라남도 장흥군 (4680000000),"36,399","1,834","2,600","2,857","2,502","3,801","6,099","6,720","5,316","3,987",669,14
전라남도 강진군 (4681000000),"33,629","1,527","2,399","2,703","2,225","3,525","5,475","6,435","5,048","3,687",596,9
전라남도 해남군 (4682000000),"66,950","3,598","4,967","5,364","4,567","7,565","11,291","12,665","9,806","6,220",884,23
전라남도 영암군 (4683000000),"52,662","3,171","4,276","4,871","4,396","7,136","9,401","8,530","6,111","4,182",578,10
전라남도 무안군 (4684000000),"90,916","8,170","9,693","9,476","11,127","14,468","13,457","11,532","7,886","4,479",610,18
전라남도 함평군 (4686000000),"31,149","1,210","1,989","2,318","1,829","3,239","5,321","6,177","4,897","3,627",530,12
전라남도 영광군 (4687000000),"51,770","3,630","3,999","4,644","4,569","6,176","8,366","8,632","6,927","4,270",532,25
전라남도 장성군 (4688000000),"43,194","2,434","3,162","3,883","3,352","5,201","7,393","7,616","5,698","3,916",525,14
전라남도 완도군 (4689000000),"48,472","2,886","3,486","3,547","3,590","5,877","7,838","8,709","7,304","4,586",633,16
전라남도 진도군 (4690000000),"29,976","1,547","2,151","2,409","2,070","3,379","4,935","5,494","4,515","3,072",395,9
