행정구역1,행정구역2,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,종로구,141517,6973,10308,22634,19219,20465,24183,19604,11275,5953,879,24
서울특별시,중구,119748,6284,6405,18176,19648,16894,19341,17476,9944,4815,747,18
서울특별시,용산구,216655,12613,14505,32457,37158,32817,34686,27802,15204,8141,1235,37
서울특별시,성동구,282612,19207,18812,43259,46467,42742,45262,37070,19791,8863,1105,34
서울특별시,광진구,336447,17726,24700,61394,54331,49763,52847,43370,21697,9384,1196,39
서울특별시,동대문구,333894,19567,22683,55996,48683,48366,51264,46791,27052,12020,1419,53
서울특별시,중랑구,383963,21274,25366,53903,56649,55136,66503,60015,30952,12570,1556,39
서울특별시,성북구,426054,27307,35871,65280,58025,66633,68068,55843,32090,14944,1953,40
서울특별시,강북구,295859,14134,20738,40783,36813,43255,50757,46453,29085,12396,1408,37
서울특별시,도봉구,314528,17022,24233,41311,38939,45666,55265,50748,27279,12372,1643,50
서울특별시,노원구,507124,30627,50174,69655,62717,81045,86019,69961,37036,17299,2518,73
서울특별시,은평구,467877,27631,37093,64929,66552,73173,75889,65848,37936,16814,1970,42
서울특별시,서대문구,300769,18843,22392,48514,43854,44616,47579,38885,22925,11627,1482,52
서울특별시,마포구,364020,23625,27545,60908,63074,58970,53711,40222,23032,11334,1553,46
서울특별시,양천구,443638,29507,49354,57117,55248,75830,75231,59468,28929,11217,1689,48
서울특별시,강서구,569756,36609,43381,85318,97268,88348,83280,78455,39107,15458,2464,68
서울특별시,구로구,393822,25943,29100,53528,60745,60600,61514,56909,31761,12187,1503,32
서울특별시,금천구,228631,11659,13900,37060,36338,31235,38697,34160,17828,6881,848,25
서울특별시,영등포구,372586,24738,23529,58428,68959,54725,55148,47359,26479,11733,1448,40
서울특별시,동작구,381596,22969,26895,64648,60485,56536,57104,49698,29148,12398,1665,50
서울특별시,관악구,480924,19827,26944,107682,84852,64511,65868,59172,36385,14045,1591,47
서울특별시,서초구,405959,31667,44282,51600,58839,73820,61191,46776,26104,9972,1661,47
서울특별시,강남구,523799,34647,58887,70103,76410,95670,79941,59818,33763,12326,2156,78
서울특별시,송파구,651800,48335,57468,89955,105836,105953,100034,86153,40726,14791,2478,71
서울특별시,강동구,458310,34291,38744,60216,70613,73976,70687,65597,31170,11170,1779,67
부산광역시,중구,40076,1116,1861,5816,4439,5046,6607,7796,4921,2152,315,7
부산광역시,서구,104301,5309,7071,12982,10465,13978,16848,19129,12171,5628,702,18
부산광역시,동구,86633,3962,4803,10234,10315,11421,14012,15864,10556,4887,567,12
부산광역시,영도구,109804,4869,7026,11418,10162,14396,18395,22159,14472,6189,698,20
