행정구역1,행정구역2,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
서울특별시,송파구,"651,800","48,335","57,468","89,955","105,836","105,953","100,034","86,153","40,726","14,791","2,478",71
서울특별시,강동구,"458,310","34,291","38,744","60,216","70,613","73,976","70,687","65,597","31,170","11,170","1,779",67
부산광역시,중구,"40,076","1,116","1,861","5,816","4,439","5,046","6,607","7,796","4,921","2,152",315,7
부산광역시,서구,"104,301","5,309","7,071","12,982","10,465","13,978","16,848","19,129","12,171","5,628",702,18
부산광역시,동구,"86,633","3,962","4,803","10,234","10,315","11,421","14,012","15,864","10,556","4,887",567,12
부산광역시,영도구,"109,804","4,869","7,026","11,418","10,162","14,396","18,395","22,159","14,472","6,189",698,20
부산광역시,부산진구,"350,845","20,089","24,017","50,852","46,750","49,600","55,984","56,737","31,593","13,675","1,525",23
부산광역시,동래구,"265,278","18,718","24,485","31,116","31,495","42,180","42,922","41,685","22,708","8,854","1,093",22
부산광역시,남구,"260,440","16,605","22,491","34,051","28,055","40,093","41,752","41,153","25,008","10,051","1,155",26
부산광역시,북구,"282,058","18,332","22,415","35,599","33,532","39,554","52,098","48,427","22,127","8,865","1,086",23
부산광역시,해운대구,"393,533","27,068","36,830","46,679","44,808","63,391","68,694","59,517","30,993","13,716","1,795",42
부산광역시,사하구,"304,464","18,323","24,474","38,122","34,741","44,428","52,770","53,017","26,874","10,330","1,360",25
부산광역시,금정구,"226,816","12,081","17,186","31,950","24,053","30,997","38,674","39,426","21,868","9,369","1,185",27
부산광역시,강서구,"142,477","19,699","12,940","12,548","26,780","25,968","17,089","16,957","7,188","2,836",461,11
부산광역시,연제구,"206,084","13,965","16,223","24,844","26,188","31,356","33,244","33,387","18,497","7,485",870,25
부산광역시,수영구,"173,770","9,828","11,430","23,660","23,361","24,666","26,811","28,727","17,186","7,175",908,18
부산광역시,사상구,"206,944","11,267","14,397","27,635","24,111","28,117","38,541","38,197","17,645","6,378",637,19
부산광역시,기장군,"176,596","18,280","18,023","16,928","23,947","32,965","24,901","22,384","12,829","5,527",781,31
대구광역시,중구,"73,790","4,995","4,995","11,321","10,483","10,438","10,778","10,002","6,892","3,414",454,18
대구광역시,동구,"339,589","23,993","26,178","40,402","43,011","50,556","55,858","53,297","30,666","14,022","1,570",36
대구광역시,서구,"163,237","6,773","10,090","19,824","16,588","21,043","31,871","31,725","17,198","7,355",752,18
대구광역시,남구,"141,883","6,321","8,907","19,651","16,560","19,139","23,836","24,082","14,817","7,590",963,17
대구광역시,북구,"435,371","31,915","41,736","60,878","52,401","69,932","77,705","57,260","28,895","13,116","1,504",29
대구광역시,수성구,"415,168","28,392","49,273","52,783","41,414","69,554","74,255","53,926","28,975","14,583","1,963",50
대구광역시,달서구,"542,866","36,871","52,674","74,954","62,671","84,765","100,897","77,355","35,101","15,647","1,893",38
대구광역시,달성군,"261,885","28,505","24,466","28,335","40,432","44,575","40,884","32,490","14,601","6,724",856,17
인천광역시,중구,"142,401","11,651","13,110","18,865","21,840","24,994","20,916","17,055","9,278","4,012",661,19
인천광역시,동구,"60,895","3,470","4,890","6,350","6,677","9,576","9,812","10,274","6,441","2,959",436,10
인천광역시,미추홀구,"403,593","26,081","31,467","56,607","55,294","62,736","66,311","58,318","30,941","13,801","1,986",51
인천광역시,연수구,"387,387","37,064","43,036","50,445","56,157","68,575","64,651","42,682","15,735","7,642","1,357",43
인천광역시,남동구,"515,102","38,005","48,545","68,473","68,596","86,091","88,342","70,268","31,235","13,412","2,064",71
인천광역시,부평구,"482,858","30,384","41,366","66,954","65,474","74,089","86,857","69,686","31,318","14,564","2,104",62
인천광역시,계양구,"293,668","17,252","25,429","42,250","37,766","44,182","58,837","43,202","15,712","7,809","1,203",26
인천광역시,서구,"552,432","49,253","57,098","71,899","80,376","96,780","94,653","64,255","25,166","11,092","1,799",61
인천광역시,강화군,"69,340","3,198","4,557","5,110","5,157","7,589","11,671","15,303","9,915","5,931",892,17
인천광역시,옹진군,"20,234",880,"1,090","2,562","1,824","2,276","3,430","4,380","2,354","1,152",272,14
광주광역시,동구,"102,492","7,293","7,247","14,807","13,332","13,875","15,229","14,946","10,135","4,939",673,16
